epoch,ER,F1,dense_26_loss,dense_27_loss,dense_28_loss,loss
77,"""[0.5570498912984599, 0.3535314549002194, 0.48679806601457865]""","""[0.5708689850487414, 0.7003886055926652, 0.5892394765662502]""",0.44302484146045096,0.40741392365178086,0.3155951386966182,1.1660339030761457
78,"""[0.5449023858807365, 0.39675800833780084, 0.48679806601457865]""","""[0.5408605641398948, 0.6875788306763794, 0.5892394765662502]""",0.4436843201492499,0.4065723509499521,0.3151646366863676,1.1654213100518411
79,"""[0.5566160518192556, 0.35893477407991714, 0.48679806601457865]""","""[0.5673045623340575, 0.6971317855148834, 0.5892394765662502]""",0.44122482842210364,0.4062073437945375,0.31474491193882054,1.1621770869670016
80,"""[0.5475054227559629, 0.3685835583293773, 0.48679806601457865]""","""[0.5671555948751628, 0.6837411485843525, 0.5892394765662502]""",0.4402685719534218,0.4053381350021351,0.3143105110555052,1.1599172153699187
81,"""[0.5613882860905041, 0.3643380932596148, 0.48679806601457865]""","""[0.5567175976218409, 0.6851399132727488, 0.5892394765662502]""",0.4431072866800787,0.40518901520555123,0.3138075849715473,1.1621038853065704
82,"""[0.5475054227559629, 0.335005789141256, 0.48679806601457865]""","""[0.577518917696734, 0.6947164811181238, 0.5892394765662502]""",0.442669471888763,0.40385097749169174,0.3134570838792996,1.1599775384398037
83,"""[0.5522776570272114, 0.36240833640972275, 0.48679806601457865]""","""[0.5585922231869775, 0.6843081100984004, 0.5892394765662502]""",0.4417883472963358,0.40353629354274634,0.31311912462328284,1.1584437660928315
84,"""[0.5557483728608468, 0.31918178297214134, 0.48679806601457865]""","""[0.5709501954941333, 0.6810722375342183, 0.5892394765662502]""",0.4412994244018236,0.40315351542777644,0.31279859112084696,1.1572515301325446
85,"""[0.5531453359856203, 0.3296024699615583, 0.48679806601457865]""","""[0.5560049276434957, 0.6714225618319761, 0.5892394765662502]""",0.4406494285598218,0.4022506415980281,0.31254544782597654,1.1554455168932898
86,"""[0.5440347069223277, 0.35546121175011147, 0.48679806601457865]""","""[0.5492548119946588, 0.6732144603022803, 0.5892394765662502]""",0.4412409554146712,0.4020487113023499,0.31207035932628135,1.1553600244074975
87,"""[0.5392624726510792, 0.3774604398388806, 0.48679806601457865]""","""[0.5429443009167303, 0.6756952333328303, 0.5892394765662502]""",0.43982123377801624,0.4013931414718421,0.3118165096533237,1.1530308889756549
88,"""[0.5557483728608468, 0.3284446158516231, 0.48679806601457865]""","""[0.5654329990675251, 0.6784406592848939, 0.5892394765662502]""",0.4423338791484353,0.40086535473017093,0.3115262439961158,1.154725474790548
89,"""[0.5479392622351674, 0.32497105352181743, 0.48679806601457865]""","""[0.5741042193222178, 0.6779064764908893, 0.5892394765662502]""",0.44141945266737265,0.4003490075647933,0.3112702806926987,1.1530387452018132
90,"""[0.5600867676528908, 0.3261289076317527, 0.48679806601457865]""","""[0.5559205870976512, 0.6760885607314054, 0.5892394765662502]""",0.4395497229659537,0.39995220131435144,0.3110012408152112,1.1505031728144712
91,"""[0.551843817548007, 0.3496719412004354, 0.48679806601457865]""","""[0.57484650680575, 0.6690485372743373, 0.5892394765662502]""",0.4387788229018637,0.3996111513922186,0.3108212201679823,1.1492111988242113
92,"""[0.5383947936926704, 0.34233886517084566, 0.48679806601457865]""","""[0.5830132328991519, 0.6724541171939888, 0.5892394765662502]""",0.4417321879465693,0.39954857079215295,0.31053368334023185,1.1518144488948083
93,"""[0.5613882860905041, 0.32381319941188225, 0.48679806601457865]""","""[0.5567175976218409, 0.6793325745829911, 0.5892394765662502]""",0.4402516295120606,0.39902104879529765,0.31027468941837394,1.1495473677257322
94,"""[0.5544468544232335, 0.3516016980503274, 0.48679806601457865]""","""[0.5735823390660912, 0.6705243456552575, 0.5892394765662502]""",0.4400092632583784,0.39816996613661176,0.31002182078538726,1.1482010474540356
95,"""[0.5704989151537966, 0.33307603229136395, 0.48679806601457865]""","""[0.5590057563233802, 0.6783115705373974, 0.5892394765662502]""",0.4397640236791302,0.3976470320104803,0.30991465710380406,1.1473257174281954
96,"""[0.5492407806727806, 0.34002315695097524, 0.48679806601457865]""","""[0.5339152413058951, 0.6656281490578188, 0.5892394765662502]""",0.4414416028643554,0.3974766461183985,0.3096985383126448,1.1486167823879838
97,"""[0.5544468544232335, 0.3438826706507593, 0.48679806601457865]""","""[0.5731022192279054, 0.6724678544752684, 0.5892394765662502]""",0.4415154416537953,0.39742688593556363,0.30951773416593864,1.1484600572057149
98,"""[0.5553145333816423, 0.3361636432511912, 0.48679806601457865]""","""[0.5692858482987065, 0.6757017194978936, 0.5892394765662502]""",0.43884288768825563,0.3966047372424037,0.3092743450570202,1.1447219681644385
99,"""[0.5488069411935762, 0.32651485900173105, 0.48679806601457865]""","""[0.5768159555232864, 0.6859271728573735, 0.5892394765662502]""",0.4406491438615929,0.39609963567410966,0.30912737925779216,1.1458761570724916
100,"""[0.5475054227559629, 0.3442686220207377, 0.48679806601457865]""","""[0.5778388732270936, 0.6785138773297876, 0.5892394765662502]""",0.43913458361838326,0.3960917815267869,0.3089773420131568,1.1442037139912207
